Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key,Simplified_Indication
bosentan,Tracleer,10/6/00,Treatment of pulmonary arterial hypertension,Designated/Approved,,,"Treatment of pulmonary arterial hypertension (PAH) (WHO Group 1) in pediatric patients aged 3 years and older with idiopathic or congenital PAH to improve pulmonary vascular resistance (PVR), which is expected to result in an improvement in exercise ability",9/5/17,9/5/24,"Treatment of pulmonary arterial hypertension (PAH) (WHO Group 1) in pediatric patients aged 3 years and older with idiopathic or congenital PAH to improve pulmonary vascular resistance (PVR), which is expected to result in an improvement in exercise ability",Actelion Pharmaceuticals Ltd,1840 Gateway Drive,Suite 300,Cherry Hill,New Jersey,08002 ',United States,134200,"For pulmonary arterial hypertension (PAH) (WHO Group 1) in pediatric patients aged 3 years and older with idiopathic or congenital PAH to improve pulmonary vascular resistance (PVR), which is expected to result in an improvement in exercise ability"
bosentan,Tracleer,10/6/00,Treatment of pulmonary arterial hypertension,Designated/Approved,,,Treatment of pulmonary arterial hypertension.,11/20/01,11/20/08,,Actelion Pharmaceuticals Ltd,1840 Gateway Drive,Suite 300,Cherry Hill,New Jersey,08002 ',United States,134200,For pulmonary arterial hypertension.
Autologous T Cells transduced with lentiviral vector containing a chimeric antigen receptor directed against CD19,Kymriah (tisagenlecleucel),1/31/14,For the treatment of Acute Lymphoblastic Leukemia,Designated/Approved,,,Treatment of patients up to 25 years of age with B-cell precursor acute lymphoblastic leukemia (ALL) that is refractory or in second or later relapse,8/30/17,8/30/24,Treatment of patients up to 25 years of age with B-cell precursor acute lymphoblastic leukemia (ALL) that is refractory or in second or later relapse,Novartis Pharmaceuticals Corporation,"One Health Plaza,",Bldg 315 - Room 3650B,East Hanover,New Jersey,07936 ',United States,415113,For patients up to 25 years of age with B-cell precursor acute lymphoblastic leukemia (ALL) that is refractory or in second or later relapse
5-aminolevulinic acid,Gleolan,1/15/13,Visualization of malignant tissue during surgery for malignant glioma (WHO grades III and IV),Designated/Approved,,,Optical imaging agent indicated in patients with glioma (suspected World Health Organization Grades III or IV on preoperative imaging) as an adjunct for the visualization of malignant tissue during surgery,6/6/17,6/6/24,Optical imaging agent indicated in patients with glioma (suspected World Health Organization Grades III or IV on preoperative imaging) as an adjunct for the visualization of malignant tissue during surgery,NX Development Corporation,1827 South Bayshore Lane,,Miami,Florida,33133 ',United States,387312,Optical imaging agent For patients with glioma (suspected World Health Organization Grades III or IV on preoperative imaging) as an adjunct for the visualization of malignant tissue during surgery
abatacept,Orencia,12/26/17,Prevention of graft versus host disease,Designated/Approved,,,"prophylaxis of acute graft versus host disease (aGVHD), in combination with a calcineurin inhibitor and methotrexate, in adults and pediatric patients 2 years of age and older undergoing hematopoietic stem cell transplantation (HSCT) from a matched or 1 allele-mismatched unrelated-donor",12/15/21,12/15/28,prophylaxis of acute graft versus host disease (aGVHD) in adults and pediatric patients 2 years of age and older undergoing hematopoietic stem cell transplantation (HSCT) from a matched or 1 allele-mismatched unrelated-donor,Bristol-Myers Squibb Co.,P. O. Box 5326,,Princeton,New Jersey,08543 ',United States,614117,"For prophylaxis of acute graft versus host disease (aGVHD), In combination with a calcineurin inhibitor and methotrexate, in adults and pediatric patients 2 years of age and older undergoing hematopoietic stem cell transplantation (HSCT) from a matched or 1 allele-mismatched unrelated-donor"
acalabrutinib,Calquence,5/13/15,Treatment of chronic lymphocytic leukemia (CLL).,Designated/Approved,,,Treatment of adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL),8/4/22,,,"Acerta Pharma, LLC (a member of the AstraZeneca Group)",121 Oyster Point Boulevard,,South San Francisco,California,94080 ',United States,477415,For adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL)
acalabrutinib,CALQUENCE,9/21/15,Treatment of mantle cell lymphoma.,Designated/Approved,,,treatment of adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy,10/31/17,10/31/24,treatment of adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy,"Acerta Pharma, LLC (a member of the AstraZeneca Group)",121 Oyster Point Boulevard,,South San Francisco,California,94080 ',United States,488915,For adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy
acalabrutinib,Calquence,9/21/15,Treatment of mantle cell lymphoma.,Designated/Approved,,,in combination with bendamustine and rituximab for the treatment of adult patients with previously untreated mantle cell lymphoma (MCL) who are ineligible for autologous hematopoietic stem cell transplantation (HSCT),1/16/25,,,"Acerta Pharma, LLC (a member of the AstraZeneca Group)",121 Oyster Point Boulevard,,South San Francisco,California,94080 ',United States,488915,In combination with bendamustine and rituximab For adult patients with previously untreated mantle cell lymphoma (MCL) who are ineligible for autologous hematopoietic stem cell transplantation (HSCT)
acalabrutinib,Calquence,9/21/15,Treatment of mantle cell lymphoma.,Designated/Approved,,,Treatment of adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy,8/4/22,,,"Acerta Pharma, LLC (a member of the AstraZeneca Group)",121 Oyster Point Boulevard,,South San Francisco,California,94080 ',United States,488915,For adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy
acalabrutinib,,5/13/15,Treatment of chronic lymphocytic leukemia (CLL).,Designated/Approved,,,CALQUENCE is indicated for the treatment of adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL).,11/21/19,11/21/26,Indicated for the treatment of adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL).,"Acerta Pharma, LLC (a member of the AstraZeneca Group)",121 Oyster Point Boulevard,,South San Francisco,California,94080 ',United States,477415,CALQUENCE is For adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL).
